"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034605","cellular response to heat","3/23","66/18860",0.0454545454545455,37.2727272727273,10.3147794515627,6.89500165593295e-05,0.0227163535829963,0.0147951254415016,"HSP90AB1/HSP90AA1/STAC",3
"GO:0006941","striated muscle contraction","4/23","208/18860",0.0192307692307692,15.7692307692308,7.48417992778044,0.000107968189039834,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/STAC/CALM1",4
"GO:0008016","regulation of heart contraction","4/23","225/18860",0.0177777777777778,14.5777777777778,7.15933420754912,0.000146138102226977,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/THRB/CALM1",4
"GO:1901385","regulation of voltage-gated calcium channel activity","2/23","15/18860",0.133333333333333,109.333333333333,14.6665188338887,0.000147940758272237,0.0227163535829963,0.0147951254415016,"STAC/CALM1",2
"GO:0055117","regulation of cardiac muscle contraction","3/23","87/18860",0.0344827586206897,28.2758620689655,8.91022459535825,0.000157065962545873,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/CALM1",3
"GO:0009408","response to heat","3/23","103/18860",0.029126213592233,23.8834951456311,8.13723128861237,0.000258750013486381,0.0227163535829963,0.0147951254415016,"HSP90AB1/HSP90AA1/STAC",3
"GO:0006089","lactate metabolic process","2/23","20/18860",0.1,82,12.6641762731549,0.000266710892745433,0.0227163535829963,0.0147951254415016,"LDHA/LDHB",2
"GO:0060047","heart contraction","4/23","265/18860",0.0150943396226415,12.377358490566,6.51753943420558,0.000273363824008459,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/THRB/CALM1",4
"GO:0006942","regulation of striated muscle contraction","3/23","107/18860",0.0280373831775701,22.9906542056075,7.97098589995362,0.000289480799135475,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/CALM1",3
"GO:0003015","heart process","4/23","275/18860",0.0145454545454545,11.9272727272727,6.37843634992808,0.000314729953670109,0.0227163535829963,0.0147951254415016,"ATP1B1/HSP90AA1/THRB/CALM1",4
