"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050931","pigment cell differentiation","3/40","35/18860",0.0857142857142857,40.4142857142857,10.7596887025145,5.51840043623297e-05,0.0279419502545312,0.022527612170517,"EDNRB/CD63/LRMDA",3
"GO:0051260","protein homooligomerization","5/40","210/18860",0.0238095238095238,11.2261904761905,6.8701089348325,7.81979629742226e-05,0.0279419502545312,0.022527612170517,"SLC1A2/KCNB2/ADCY8/KCTD16/GRIA3",5
"GO:0071312","cellular response to alkaloid","3/40","40/18860",0.075,35.3625,10.0296194564643,8.26930048879497e-05,0.0279419502545312,0.022527612170517,"SLC1A2/ADCY8/CASP6",3
"GO:0043473","pigmentation","4/40","116/18860",0.0344827586206897,16.2586206896552,7.59963353206336,0.000104651499080641,0.0279419502545312,0.022527612170517,"PIKFYVE/EDNRB/CD63/LRMDA",4
"GO:0048066","developmental pigmentation","3/40","48/18860",0.0625,29.46875,9.10439410012566,0.000143071343331041,0.0305600389355104,0.0246383913357457,"EDNRB/CD63/LRMDA",3
"GO:0014706","striated muscle tissue development","6/40","430/18860",0.013953488372093,6.57906976744186,5.39526609442155,0.000269931613909461,0.0380936689712928,0.030712222766132,"ERBB4/HEG1/IGSF8/FHOD3/CFL2/YBX3",6
"GO:1900153","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","2/40","12/18860",0.166666666666667,78.5833333333333,12.3938414986212,0.000285610025125587,0.0380936689712928,0.030712222766132,"CPEB3/TNRC6B",2
"GO:0051259","protein complex oligomerization","5/40","282/18860",0.0177304964539007,8.35992907801419,5.74087671684079,0.000309242795339931,0.0380936689712928,0.030712222766132,"SLC1A2/KCNB2/ADCY8/KCTD16/GRIA3",5
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","2/40","13/18860",0.153846153846154,72.5384615384615,11.8951431678536,0.00033708626329887,0.0380936689712928,0.030712222766132,"CPEB3/TNRC6B",2
"GO:0060537","muscle tissue development","6/40","453/18860",0.0132450331125828,6.24503311258278,5.20937168950107,0.000356682293738697,0.0380936689712928,0.030712222766132,"ERBB4/HEG1/IGSF8/FHOD3/CFL2/YBX3",6
"GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","2/40","15/18860",0.133333333333333,62.8666666666667,11.0505474102729,0.000452553427078649,0.0439388236472724,0.0354247563014674,"CPEB3/TNRC6B",2
"GO:0035234","ectopic germ cell programmed cell death","2/40","19/18860",0.105263157894737,49.6315789473684,9.77738490498671,0.000733070578784738,0.0652432815118417,0.0526010292496418,"LRRIQ1/YBX3",2
"GO:0002181","cytoplasmic translation","4/40","208/18860",0.0192307692307692,9.06730769230769,5.39357971717985,0.000962501966418357,0.0735347956558059,0.0592858888689624,"CPEB3/RPS15A/RPS7/YBX3",4
"GO:0014033","neural crest cell differentiation","3/40","95/18860",0.0315789473684211,14.8894736842105,6.25680793861253,0.00106867999753099,0.0735347956558059,0.0592858888689624,"ERBB4/EDNRB/RPS7",3
"GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","2/40","23/18860",0.0869565217391304,41,8.8490684972385,0.0010787989925921,0.0735347956558059,0.0592858888689624,"CPEB3/TNRC6B",2
"GO:0030318","melanocyte differentiation","2/40","24/18860",0.0833333333333333,39.2916666666667,8.65356511662568,0.00117529493789781,0.0735347956558059,0.0592858888689624,"EDNRB/LRMDA",2
"GO:0046058","cAMP metabolic process","2/40","24/18860",0.0833333333333333,39.2916666666667,8.65356511662568,0.00117529493789781,0.0735347956558059,0.0592858888689624,"ADCY8/PDE8A",2
"GO:0043279","response to alkaloid","3/40","100/18860",0.03,14.145,6.07608288878454,0.001239350488581,0.0735347956558059,0.0592858888689624,"SLC1A2/ADCY8/CASP6",3
"GO:0010623","programmed cell death involved in cell development","2/40","26/18860",0.0769230769230769,36.2692307692308,8.29642315679133,0.00138024733512583,0.0775844291533885,0.0625508210599959,"LRRIQ1/YBX3",2
