"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","15/119","331/18860",0.0453172205438066,7.18220823072431,9.0420741848495,2.68386671207758e-09,2.44384742147976e-06,2.08393655454373e-06,"COL12A1/RUNX1/COL1A2/ADAMTSL3/MATN1/TGFBR3/ADAMTSL1/COL3A1/COL4A4/COL4A3/ADAMTS3/SULF1/COL14A1/PRDM5/FBLN1",15
"GO:0043062","extracellular structure organization","15/119","332/18860",0.0451807228915663,7.16057507340286,9.02427779464471,2.79619476054493e-09,2.44384742147976e-06,2.08393655454373e-06,"COL12A1/RUNX1/COL1A2/ADAMTSL3/MATN1/TGFBR3/ADAMTSL1/COL3A1/COL4A4/COL4A3/ADAMTS3/SULF1/COL14A1/PRDM5/FBLN1",15
"GO:0045229","external encapsulating structure organization","15/119","333/18860",0.045045045045045,7.1390718449542,9.00655514679148,2.91280979914155e-09,2.44384742147976e-06,2.08393655454373e-06,"COL12A1/RUNX1/COL1A2/ADAMTSL3/MATN1/TGFBR3/ADAMTSL1/COL3A1/COL4A4/COL4A3/ADAMTS3/SULF1/COL14A1/PRDM5/FBLN1",15
"GO:0051216","cartilage development","12/119","216/18860",0.0555555555555556,8.80485527544351,9.19302864724057,1.214193160507e-08,7.64031046249029e-06,6.51510487966782e-06,"OGN/RUNX1/TRPS1/MATN1/PRRX1/EFEMP1/MGP/COL3A1/CD44/SULF1/TGFBR2/BGN",12
"GO:0061448","connective tissue development","13/119","307/18860",0.0423452768729642,6.71119262037062,8.03943177211867,7.29010120300896e-08,3.66983694559471e-05,3.12937186377585e-05,"OGN/RUNX1/TRPS1/MATN1/PRRX1/EFEMP1/MGP/COL3A1/CD44/SULF1/TGFBR2/NR1H4/BGN",13
"GO:0006929","substrate-dependent cell migration","5/119","29/18860",0.172413793103448,27.3254129237902,11.3050875464023,9.66844419441532e-07,0.000405591233955723,0.000345858907235313,"PTPRC/NTN1/FN1/FBLN1/VEGFC",5
"GO:0032835","glomerulus development","6/119","74/18860",0.0810810810810811,12.8503293209176,8.13889697475464,7.25695378013766e-06,0.0025030115816602,0.00213438747673928,"PLCE1/COL4A4/COL4A3/WWTR1/SULF1/EDNRA",6
"GO:0072006","nephron development","8/119","160/18860",0.05,7.92436974789916,7.00899691748759,7.95553939343725e-06,0.0025030115816602,0.00213438747673928,"PLCE1/COL4A4/COL4A3/EYA1/WWTR1/SULF1/YAP1/EDNRA",8
"GO:0002062","chondrocyte differentiation","7/119","119/18860",0.0588235294117647,9.3227879387049,7.25742171942645,1.04189135167647e-05,0.00291382281352185,0.00248469762113253,"RUNX1/TRPS1/MATN1/EFEMP1/COL3A1/SULF1/TGFBR2",7
"GO:0072089","stem cell proliferation","7/119","131/18860",0.0534351145038168,8.46879209699147,6.83541920220178,1.95046739142062e-05,0.00457590771440158,0.00390200356718099,"RUNX1/PTPRC/PRRX1/TGFBR2/FBLN1/YAP1/VEGFC",7
"GO:0048588","developmental cell growth","9/119","238/18860",0.0378151260504202,5.99322081773886,6.17721219985773,2.02334027883585e-05,0.00457590771440158,0.00390200356718099,"NEDD4L/SLC39A12/ITGA4/NTN1/TGFBR2/COL14A1/FN1/COBL/EDNRA",9
"GO:0043542","endothelial cell migration","10/119","302/18860",0.033112582781457,5.24792698536368,5.92995448885596,2.18160081735475e-05,0.00457590771440158,0.00390200356718099,"DCN/TGFBR3/PLPP3/SCG2/ANXA1/FN1/ETS1/EGF/VEGFC/PTPRM",10
"GO:0035265","organ growth","8/119","187/18860",0.0427807486631016,6.78020940996719,6.32985494666662,2.46863762771805e-05,0.00472052597884678,0.004025323576885,"RUNX1/MATN1/TGFBR3/HEG1/LEPR/TGFBR2/COL14A1/YAP1",8
"GO:0060560","developmental growth involved in morphogenesis","9/119","246/18860",0.0365853658536585,5.79831932773109,6.03633419820623,2.62564019482936e-05,0.00472052597884678,0.004025323576885,"NEDD4L/SLC39A12/ITGA4/NTN1/TGFBR2/FN1/COBL/YAP1/EDNRA",9
"GO:0072091","regulation of stem cell proliferation","6/119","95/18860",0.0631578947368421,10.0097302078726,7.01513019071293,3.05729932845473e-05,0.00513014827314704,0.00437461988120646,"PTPRC/PRRX1/TGFBR2/FBLN1/YAP1/VEGFC",6
"GO:0032836","glomerular basement membrane development","3/119","11/18860",0.272727272727273,43.2238349885409,11.1621098344001,3.89485449997532e-05,0.00606324483153852,0.00517029722581479,"COL4A4/COL4A3/SULF1",3
"GO:0007266","Rho protein signal transduction","7/119","147/18860",0.0476190476190476,7.54701880752301,6.34990134161084,4.09515940151589e-05,0.00606324483153852,0.00517029722581479,"COL1A2/ARHGAP29/DOCK8/HEG1/COL3A1/NTN1/HACD3",7
"GO:0022409","positive regulation of cell-cell adhesion","10/119","343/18860",0.0291545189504373,4.62062375970797,5.3923934739388,6.39378986834938e-05,0.00867787010145002,0.00739986079370035,"RUNX1/DOCK8/PTPRC/CD44/ITGA4/PLPP3/TGFBR2/ANXA1/ETS1/SYK",10
"GO:0060562","epithelial tube morphogenesis","10/119","344/18860",0.0290697674418605,4.60719171389486,5.38035944544362,6.5506369458701e-05,0.00867787010145002,0.00739986079370035,"TCTN1/SLC39A12/EYA1/NTN1/TGFBR2/CASP3/COBL/EGF/YAP1/EDNRA",10
"GO:0050673","epithelial cell proliferation","12/119","496/18860",0.0241935483870968,3.83437245866088,5.09742149731997,7.10836585743402e-05,0.00894587843158071,0.00762839893858314,"COL8A1/TGFBR3/COL4A3/EYA1/ITGA4/SCG2/SULF1/IGFBP5/EGF/YAP1/VEGFC/PTPRM",12
