"gene","cell_type","log2FC","pvalue","padj","significance","category"
"CD63","Muller",2.28136190129974,0.0222136128954398,0.999877276667317,"p < 0.05","Tetraspanins"
"TSPAN7","Muller",0.472156173375539,0.282207293709304,0.999877276667317,"NS","Tetraspanins"
"TSPAN3","Muller",0.0816349701222131,0.927555091043565,0.999877276667317,"NS","Tetraspanins"
"TSPAN5","Muller",-0.0750797375133685,0.857404752461161,0.999877276667317,"NS","Tetraspanins"
"TSPAN14","Muller",-0.268551353294138,0.839533811373735,0.999877276667317,"NS","Tetraspanins"
"TSPAN15","Muller",0.136241153634986,0.909401735114139,0.999877276667317,"NS","Tetraspanins"
"CTNNA1","Muller",-0.479688951885716,0.281528726371268,0.999877276667317,"NS","Catenins"
"CTNNA2","Muller",-1.77989291545518,2.72195251371864e-07,0.0015711109909184,"padj < 0.05","Catenins"
"CTNNB1","Muller",0.749683800034106,0.253353535336969,0.999877276667317,"NS","Catenins"
"CTNND1","Muller",-0.332652517447088,0.741640125087387,0.999877276667317,"NS","Catenins"
"CDH2","Muller",0.164222014056096,0.704646451617589,0.999877276667317,"NS","Cadherins"
"CDH18","Muller",-4.42330628791658,0.0055396521334939,0.999877276667317,"p < 0.05","Cadherins"
"CDH23","Muller",-1.58312215042403,0.324906515095081,0.999877276667317,"NS","Cadherins"
"PCDH15","Muller",-0.362524878315526,0.192620733380985,0.999877276667317,"NS","Cadherins"
"PARD3","Muller",-0.0225887089170079,0.966684926352795,0.999877276667317,"NS","Polarity_Complex"
"PARD3B","Muller",-0.338985728432593,0.412847287760775,0.999877276667317,"NS","Polarity_Complex"
"CRB1","Muller",-0.244671160328744,0.536309686286812,0.999877276667317,"NS","Polarity_Complex"
"MPDZ","Muller",-0.770234964728904,0.209544623031623,0.999877276667317,"NS","Polarity_Complex"
"TJP1","Muller",-0.588098601873026,0.219230346695186,0.999877276667317,"NS","Tight_Junctions"
"TJP2","Muller",0.295878562931549,0.620863229609375,0.999877276667317,"NS","Tight_Junctions"
"JAM2","Muller",0.891151261140616,0.384734929040621,0.999877276667317,"NS","Tight_Junctions"
"VIM","Muller",-0.164642738989425,0.698492778506592,0.999877276667317,"NS","Cytoskeleton"
"RDX","Muller",0.222252172192228,0.693678182741122,0.999877276667317,"NS","Cytoskeleton"
"CFL2","Muller",2.26740743973501,0.021824211476904,0.999877276667317,"p < 0.05","Cytoskeleton"
"GLUL","Muller",-1.00948128964811,0.0176008785953985,0.999877276667317,"p < 0.05","Glial_Function"
"RLBP1","Muller",-4.18201552021253,0.00393962465129359,0.999877276667317,"p < 0.05","Glial_Function"
"SLC1A2","Muller",1.45215340290784,0.00984821013528936,0.999877276667317,"p < 0.05","Glial_Function"
"CRACR2A","Muller",4.96542955891568,0.00202043878431792,0.999877276667317,"p < 0.05","Calcium_Signaling"
"HSP90AB1","Muller",0.459911611137158,0.445752878856593,0.999877276667317,"NS","Chaperones"
"HSP90AA1","Muller",-0.288253050845716,0.577380387690053,0.999877276667317,"NS","Chaperones"
"HSP90B1","Muller",0.259350714826906,0.560110315328468,0.999877276667317,"NS","Chaperones"
"HSPA5","Muller",0.658741049816248,0.447042522337726,0.999877276667317,"NS","Chaperones"
"HSPD1","Muller",1.09284801349097,0.287723857090598,0.999877276667317,"NS","Chaperones"
"CLU","Muller",0.320924355761728,0.422088635434574,0.999877276667317,"NS","Chaperones"
"CANX","Muller",0.123720852802303,0.788259298712452,0.999877276667317,"NS","Chaperones"
"PDIA3","Muller",0.681493690117246,0.182588391415525,0.999877276667317,"NS","Chaperones"
"ERBB4","Muller",5.69202972381968,0.00633677778675282,0.999877276667317,"p < 0.05","Survival_Signaling"
"CD63","Rods",0.420817799477559,0.212207877108954,0.799112060639429,"NS","Tetraspanins"
"TSPAN7","Rods",-0.062144502294867,0.614214238869606,0.962394763467874,"NS","Tetraspanins"
"TSPAN3","Rods",0.0931511713567974,0.637580932716069,0.964559572924784,"NS","Tetraspanins"
"TSPAN5","Rods",0.110034989904457,0.508085551052094,0.944576063970397,"NS","Tetraspanins"
"TSPAN14","Rods",1.07155430316014,0.104185606561704,0.645837729176571,"NS","Tetraspanins"
"TSPAN15","Rods",-0.180771088531473,0.834478269044978,0.987613425147191,"NS","Tetraspanins"
"CTNNA1","Rods",0.076401377207025,0.63802788071708,0.964559572924784,"NS","Catenins"
"CTNNA2","Rods",-0.272632220384311,0.0603297642110097,0.511507571408683,"NS","Catenins"
"CTNNB1","Rods",0.189810733955645,0.394751973373072,0.904758706725809,"NS","Catenins"
"CTNND1","Rods",0.286622941096493,0.460024047789608,0.928710976096631,"NS","Catenins"
"CDH2","Rods",-0.00801075830943834,0.965883822636357,0.99827153912453,"NS","Cadherins"
"CDH18","Rods",-0.661965219560361,0.000548824391465132,0.0317685993300445,"padj < 0.05","Cadherins"
"PCDH15","Rods",-0.306427043569847,0.00215296293193539,0.0798763697163681,"p < 0.05","Cadherins"
"PARD3","Rods",-0.150077470117551,0.413769793601789,0.910194754886865,"NS","Polarity_Complex"
"PARD3B","Rods",2.70086475483379,9.39632628709853e-11,7.99121411001241e-08,"padj < 0.05","Polarity_Complex"
"PARD6A","Rods",1.08666590928808,0.163276147225838,0.74728360915343,"NS","Polarity_Complex"
